hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0886?ys=2025RS' target='_blank'>SB0886</a>,Senator Ready,State Government - Regulations and Procedures,Amendments Convention Called Under Article V of the U.S. Constitution - Delegation to the Convention,Hearing 2/26 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0925?ys=2025RS' target='_blank'>HB0925</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0947?ys=2025RS' target='_blank'>SB0947</a>,Senator Ready,Utility Regulation,Maryland Co-Location Energy Innovation and Reliability Act,Hearing 3/06 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0948?ys=2025RS' target='_blank'>SB0948</a>,Senator Ready,Primary and Secondary Education,Children - Parental Rights - Educational Rights,Hearing 3/07 at 9:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1385?ys=2025RS' target='_blank'>HB1385</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB1034?ys=2025RS' target='_blank'>SB1034</a>,Senator Ready,Operating Budget,State Budget - Budget Bill - Executive and Legislative Powers,First Reading Senate Rules,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0012?ys=2025RS' target='_blank'>SB0012</a>,Senator West,Estates and Trusts,Estates and Trusts - Spousal Lifetime Access Trusts,Unfavorable Report by Judicial Proceedings; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0050?ys=2025RS' target='_blank'>HB0050</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0019?ys=2025RS' target='_blank'>SB0019</a>,Senator West,Estates and Trusts,Estates and Trusts - Compensation of Guardians of Property and Trustees,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0027?ys=2025RS' target='_blank'>HB0027</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0022?ys=2025RS' target='_blank'>SB0022</a>,Senator West,Estates and Trusts,Task Force to Study Fiduciary Adjudication in Maryland,First Reading Judiciary,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0315?ys=2025RS' target='_blank'>HB0315</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0038?ys=2025RS' target='_blank'>SB0038</a>,Senator West,Criminal Law - Procedures,Intercepted Communications - Penalty,Hearing 1/16 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0130?ys=2025RS' target='_blank'>HB0130</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0061?ys=2025RS' target='_blank'>SB0061</a>,Senator West,Criminal Law - Procedures,Wiretapping and Electronic Surveillance - Authorized Interception of Oral Communications - Cellular Telephones and Security Cameras,Hearing 1/16 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0110?ys=2025RS' target='_blank'>SB0110</a>,Senator West,Estates and Trusts,Estates and Trusts - Priority of Claims on an Estate - Unpaid Child Support,First Reading Judiciary,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0261?ys=2025RS' target='_blank'>HB0261</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0126?ys=2025RS' target='_blank'>SB0126</a>,Senator West,Estates and Trusts,Estates and Trusts - Resignation of Trustee - Notice,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0146?ys=2025RS' target='_blank'>HB0146</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0135?ys=2025RS' target='_blank'>SB0135</a>,Senator West,Estates and Trusts,Estates and Trusts - Fiduciaries - Attorney-Client Privilege,First Reading Judiciary,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0310?ys=2025RS' target='_blank'>HB0310</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0141?ys=2025RS' target='_blank'>SB0141</a>,Senator West,Criminal Law - Procedures,Criminal Procedure - Incarcerated Seniors - Motion to Reduce the Duration of a Sentence,Unfavorable Report by Judicial Proceedings; Withdrawn,None
